id,marginal
1325,7.48E-07
1326,1.36E-06
1327,2.35E-06
1328,3.86E-06
1329,6.05E-06
1330,9.04E-06
1331,1.29E-05
1332,1.75E-05
1333,2.29E-05
1334,2.86E-05
1335,3.45E-05
1336,4.03E-05
1337,4.61E-05
1338,5.20E-05
1339,5.86E-05
1340,6.65E-05
1341,7.64E-05
1342,8.88E-05
1343,0.000103626
1344,0.000120309
1345,0.000137627
1346,0.000153939
1347,0.000167502
1348,0.000176879
1349,0.00018131
1350,0.000180945
1351,0.000176865
1352,0.000170884
1353,0.000165173
1354,0.000161804
1355,0.000162299
1356,0.000167272
1357,0.000176229
1358,0.000187592
1359,0.000198944
1360,0.000207495
1361,0.000210666
1362,0.000206667
1363,0.000194902
1364,0.000176092
1365,0.00015207
1366,0.000125333
1367,9.85E-05
1368,7.37E-05
1369,5.26E-05
1370,3.57E-05
1371,2.30E-05
1372,1.42E-05
1373,8.29E-06
1374,4.62E-06
1375,2.45E-06
1376,1.23E-06
1377,5.93E-07
1378,2.71E-07
1379,1.18E-07
1380,4.93E-08
1381,4.32E-12
1382,1.49E-11
1383,4.92E-11
1384,1.54E-10
1385,4.60E-10
1386,1.30E-09
1387,3.52E-09
1388,9.05E-09
1389,2.21E-08
1390,5.15E-08
1391,1.14E-07
1392,2.40E-07
1393,4.81E-07
1394,9.18E-07
1395,1.67E-06
1396,2.88E-06
1397,4.74E-06
1398,7.43E-06
1399,1.11E-05
1400,1.58E-05
1401,2.16E-05
1402,2.81E-05
1403,3.51E-05
1404,4.23E-05
1405,4.94E-05
1406,5.63E-05
1407,6.31E-05
1408,7.06E-05
1409,7.92E-05
1410,9.00E-05
1411,0.000103251
1412,0.000119113
1413,0.00013694
1414,0.000155456
1415,0.000172916
1416,0.00018745
1417,0.000197502
1418,0.000202212
1419,0.000201667
1420,0.000196918
1421,0.00018977
1422,0.000182407
1423,0.00017693
1424,0.000174913
1425,0.000177054
1426,0.000182994
1427,0.000191327
1428,0.000199836
1429,0.000205928
1430,0.000207184
1431,0.000201906
1432,0.000189511
1433,0.000170651
